ANALYSIS_ID,STRATUM_1,STRATUM_2,STRATUM_3,STRATUM_4,STRATUM_5,COUNT_VALUE
1,NA,NA,NA,NA,NA,1000
2,8507,NA,NA,NA,NA,461
3,1914,NA,NA,NA,NA,7
3,1920,NA,NA,NA,NA,12
3,1922,NA,NA,NA,NA,19
3,1924,NA,NA,NA,NA,26
3,1926,NA,NA,NA,NA,26
3,1928,NA,NA,NA,NA,32
3,1930,NA,NA,NA,NA,29
3,1932,NA,NA,NA,NA,32
3,1934,NA,NA,NA,NA,40
3,1936,NA,NA,NA,NA,40
3,1938,NA,NA,NA,NA,57
3,1940,NA,NA,NA,NA,47
3,1942,NA,NA,NA,NA,43
3,1945,NA,NA,NA,NA,7
3,1948,NA,NA,NA,NA,7
3,1950,NA,NA,NA,NA,8
3,1953,NA,NA,NA,NA,9
3,1956,NA,NA,NA,NA,7
3,1960,NA,NA,NA,NA,7
3,1963,NA,NA,NA,NA,9
101,45,NA,NA,NA,NA,9
101,48,NA,NA,NA,NA,7
101,52,NA,NA,NA,NA,7
101,55,NA,NA,NA,NA,8
101,57,NA,NA,NA,NA,6
101,59,NA,NA,NA,NA,7
101,61,NA,NA,NA,NA,6
101,65,NA,NA,NA,NA,38
101,67,NA,NA,NA,NA,40
101,69,NA,NA,NA,NA,44
101,71,NA,NA,NA,NA,42
101,73,NA,NA,NA,NA,47
101,75,NA,NA,NA,NA,33
101,77,NA,NA,NA,NA,33
101,79,NA,NA,NA,NA,29
101,81,NA,NA,NA,NA,26
101,83,NA,NA,NA,NA,20
101,85,NA,NA,NA,NA,16
101,87,NA,NA,NA,NA,24
101,89,NA,NA,NA,NA,17
101,94,NA,NA,NA,NA,7
102,8532,45,NA,NA,NA,6
102,8507,65,NA,NA,NA,18
102,8507,66,NA,NA,NA,20
102,8507,67,NA,NA,NA,18
102,8507,68,NA,NA,NA,22
102,8507,69,NA,NA,NA,23
102,8507,70,NA,NA,NA,32
102,8507,71,NA,NA,NA,13
102,8507,72,NA,NA,NA,19
102,8507,73,NA,NA,NA,17
102,8507,74,NA,NA,NA,20
102,8507,75,NA,NA,NA,16
102,8507,76,NA,NA,NA,19
102,8507,77,NA,NA,NA,14
102,8507,78,NA,NA,NA,11
102,8507,79,NA,NA,NA,17
102,8507,80,NA,NA,NA,21
102,8507,81,NA,NA,NA,14
102,8507,82,NA,NA,NA,6
102,8507,83,NA,NA,NA,10
102,8507,84,NA,NA,NA,10
102,8507,85,NA,NA,NA,6
102,8507,86,NA,NA,NA,8
102,8507,87,NA,NA,NA,8
102,8532,88,NA,NA,NA,10
108,0,NA,NA,NA,NA,16
108,20,NA,NA,NA,NA,6
108,23,NA,NA,NA,NA,9
108,25,NA,NA,NA,NA,16
108,27,NA,NA,NA,NA,42
108,29,NA,NA,NA,NA,56
108,31,NA,NA,NA,NA,97
108,33,NA,NA,NA,NA,125
108,35,NA,NA,NA,NA,127
109,2008,NA,NA,NA,NA,15
109,2010,NA,NA,NA,NA,24
110,200801,NA,NA,NA,NA,15
110,200803,NA,NA,NA,NA,648
110,200805,NA,NA,NA,NA,853
110,200807,NA,NA,NA,NA,903
110,200809,NA,NA,NA,NA,918
110,200811,NA,NA,NA,NA,932
110,200901,NA,NA,NA,NA,941
110,200903,NA,NA,NA,NA,945
110,200905,NA,NA,NA,NA,949
110,200907,NA,NA,NA,NA,953
110,200909,NA,NA,NA,NA,953
110,200912,NA,NA,NA,NA,949
110,201005,NA,NA,NA,NA,867
110,201008,NA,NA,NA,NA,696
110,201012,NA,NA,NA,NA,24
111,200801,NA,NA,NA,NA,448
111,200803,NA,NA,NA,NA,133
111,200805,NA,NA,NA,NA,33
111,200807,NA,NA,NA,NA,9
111,200809,NA,NA,NA,NA,7
111,200811,NA,NA,NA,NA,6
112,201002,NA,NA,NA,NA,9
112,201004,NA,NA,NA,NA,21
112,201006,NA,NA,NA,NA,43
112,201008,NA,NA,NA,NA,74
112,201010,NA,NA,NA,NA,114
112,201012,NA,NA,NA,NA,362
200,0,NA,NA,NA,NA,933
200,9202,NA,NA,NA,NA,804
201,0,NA,NA,NA,NA,93998
201,9202,NA,NA,NA,NA,15238
400,133444,NA,NA,NA,NA,12
400,373770,NA,NA,NA,NA,23
400,72926,NA,NA,NA,NA,8
400,433893,NA,NA,NA,NA,7
400,441836,NA,NA,NA,NA,25
400,195313,NA,NA,NA,NA,19
400,440385,NA,NA,NA,NA,14
400,4311591,NA,NA,NA,NA,22
400,437242,NA,NA,NA,NA,8
400,257683,NA,NA,NA,NA,19
400,194091,NA,NA,NA,NA,6
400,197921,NA,NA,NA,NA,20
400,75860,NA,NA,NA,NA,226
400,4110192,NA,NA,NA,NA,172
400,444129,NA,NA,NA,NA,26
400,372914,NA,NA,NA,NA,8
400,81376,NA,NA,NA,NA,10
400,439907,NA,NA,NA,NA,12
400,192671,NA,NA,NA,NA,12
400,201078,NA,NA,NA,NA,69
400,437992,NA,NA,NA,NA,23
400,436071,NA,NA,NA,NA,6
400,436658,NA,NA,NA,NA,16
400,434494,NA,NA,NA,NA,30
400,192279,NA,NA,NA,NA,22
400,4115991,NA,NA,NA,NA,59
400,317248,NA,NA,NA,NA,21
400,73845,NA,NA,NA,NA,6
400,4290927,NA,NA,NA,NA,6
400,376117,NA,NA,NA,NA,29
400,44782719,NA,NA,NA,NA,45
400,380986,NA,NA,NA,NA,19
400,79109,NA,NA,NA,NA,25
400,438430,NA,NA,NA,NA,6
400,442775,NA,NA,NA,NA,98
400,313504,NA,NA,NA,NA,6
400,433741,NA,NA,NA,NA,8
400,441544,NA,NA,NA,NA,10
400,443608,NA,NA,NA,NA,17
400,78508,NA,NA,NA,NA,122
400,443459,NA,NA,NA,NA,10
400,439672,NA,NA,NA,NA,6
400,379031,NA,NA,NA,NA,22
400,40490423,NA,NA,NA,NA,8
400,75634,NA,NA,NA,NA,21
400,80815,NA,NA,NA,NA,8
400,258453,NA,NA,NA,NA,26
400,436140,NA,NA,NA,NA,7
400,437528,NA,NA,NA,NA,13
400,72992,NA,NA,NA,NA,22
400,379784,NA,NA,NA,NA,24
400,432453,NA,NA,NA,NA,63
400,4027782,NA,NA,NA,NA,9
400,440276,NA,NA,NA,NA,50
400,4021782,NA,NA,NA,NA,7
400,438112,NA,NA,NA,NA,26
400,199876,NA,NA,NA,NA,21
400,81250,NA,NA,NA,NA,42
400,140168,NA,NA,NA,NA,62
400,433750,NA,NA,NA,NA,12
400,436976,NA,NA,NA,NA,30
400,260131,NA,NA,NA,NA,12
400,437308,NA,NA,NA,NA,37
400,4323193,NA,NA,NA,NA,6
400,80824,NA,NA,NA,NA,98
400,442764,NA,NA,NA,NA,14
400,73562,NA,NA,NA,NA,69
400,138826,NA,NA,NA,NA,13
400,138239,NA,NA,NA,NA,30
400,381290,NA,NA,NA,NA,61
400,4115044,NA,NA,NA,NA,58
400,4007453,NA,NA,NA,NA,23
400,4024765,NA,NA,NA,NA,7
400,79118,NA,NA,NA,NA,7
400,4247710,NA,NA,NA,NA,9
400,132706,NA,NA,NA,NA,156
400,320749,NA,NA,NA,NA,9
400,77638,NA,NA,NA,NA,35
400,374646,NA,NA,NA,NA,23
400,436080,NA,NA,NA,NA,10
400,315276,NA,NA,NA,NA,13
400,439306,NA,NA,NA,NA,6
400,443800,NA,NA,NA,NA,7
400,4100540,NA,NA,NA,NA,29
400,73854,NA,NA,NA,NA,7
400,442555,NA,NA,NA,NA,86
400,443551,NA,NA,NA,NA,6
400,44783163,NA,NA,NA,NA,56
400,434500,NA,NA,NA,NA,74
400,380394,NA,NA,NA,NA,13
400,438722,NA,NA,NA,NA,29
400,378087,NA,NA,NA,NA,40
400,78517,NA,NA,NA,NA,85
400,198571,NA,NA,NA,NA,12
400,138717,NA,NA,NA,NA,29
400,4000609,NA,NA,NA,NA,26
400,437082,NA,NA,NA,NA,21
400,200051,NA,NA,NA,NA,49
400,133436,NA,NA,NA,NA,6
400,377560,NA,NA,NA,NA,14
400,436249,NA,NA,NA,NA,6
400,132583,NA,NA,NA,NA,20
400,436398,NA,NA,NA,NA,18
400,378413,NA,NA,NA,NA,7
400,437703,NA,NA,NA,NA,10
400,436206,NA,NA,NA,NA,6
400,4116936,NA,NA,NA,NA,6
400,4205509,NA,NA,NA,NA,7
400,40481919,NA,NA,NA,NA,62
400,261880,NA,NA,NA,NA,147
400,439246,NA,NA,NA,NA,8
400,443076,NA,NA,NA,NA,20
400,438748,NA,NA,NA,NA,7
400,134661,NA,NA,NA,NA,11
400,196925,NA,NA,NA,NA,13
400,132932,NA,NA,NA,NA,23
400,75091,NA,NA,NA,NA,12
400,379006,NA,NA,NA,NA,6
400,432863,NA,NA,NA,NA,13
400,192606,NA,NA,NA,NA,30
400,372906,NA,NA,NA,NA,6
400,376132,NA,NA,NA,NA,8
400,441419,NA,NA,NA,NA,9
400,201093,NA,NA,NA,NA,12
400,200970,NA,NA,NA,NA,71
400,314658,NA,NA,NA,NA,173
400,197518,NA,NA,NA,NA,8
400,432594,NA,NA,NA,NA,20
400,372892,NA,NA,NA,NA,27
400,435903,NA,NA,NA,NA,24
400,440417,NA,NA,NA,NA,111
400,25582,NA,NA,NA,NA,13
400,435511,NA,NA,NA,NA,69
