2020-07-18 15:10:27	[Main thread]	WARN	CatalogueExport	3	Cohort table not found, will skip analyses 1700 and 1701
2020-07-18 15:10:27	[Main thread]	INFO	CatalogueExport	catalogueExport	Beginning single-threaded execution
2020-07-18 15:10:28	[Main thread]	INFO	CatalogueExport	catalogueExport	Executing multiple queries. This could take a while
2020-07-18 15:10:28	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 1 (Number of persons) -- START
2020-07-18 15:10:28	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 1 (0.069055 secs)
2020-07-18 15:10:28	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 2 (Number of persons by gender) -- START
2020-07-18 15:10:28	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 2 (0.023652 secs)
2020-07-18 15:10:28	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 3 (Number of persons by year of birth) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 3 (0.138793 secs)
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 101 (Number of persons by age, with age at first observation period) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 101 (0.027932 secs)
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 102 (Number of persons by gender by age, with age at first observation period) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 102 (0.027191 secs)
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 108 (Number of persons by length of observation period, in 30d increments) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 108 (0.059268 secs)
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 109 (Number of persons with continuous observation in each year) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 109 (0.101021 secs)
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 110 (Number of persons with continuous observation in each month) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 110 (0.165349 secs)
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 111 (Number of persons by observation period start month) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 111 (0.038707 secs)
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 112 (Number of persons by observation period end month) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 112 (0.029767 secs)
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 200 (Number of persons with at least one visit occurrence, by visit_concept_id) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 200 (0.099173 secs)
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 201 (Number of visit occurrence records, by visit_concept_id) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 201 (0.084763 secs)
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 400 (Number of persons with at least one condition occurrence, by condition_concept_id) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 400 (0.097590 secs)
